path,normalized_path,metric_id,score,passed,gold_value,extracted_value,reason,reasoning
$.properties.items,items,error_140081204177088,0.000000,false,,,,
$.properties.items.items.properties.control_count_fully_adjusted,items.items.control_count_fully_adjusted,integer_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.ci_upper_minimally_adjusted,items.items.ci_upper_minimally_adjusted,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.control_count_minimally_adjusted,items.items.control_count_minimally_adjusted,integer_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.odds_ratio_fully_adjusted,items.items.odds_ratio_fully_adjusted,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.ci_upper_fully_adjusted,items.items.ci_upper_fully_adjusted,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.case_count_fully_adjusted,items.items.case_count_fully_adjusted,integer_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.ci_lower_fully_adjusted,items.items.ci_lower_fully_adjusted,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.maternal_age_group,items.items.maternal_age_group,string_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.case_count_minimally_adjusted,items.items.case_count_minimally_adjusted,integer_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.odds_ratio_minimally_adjusted,items.items.odds_ratio_minimally_adjusted,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.ci_lower_minimally_adjusted,items.items.ci_lower_minimally_adjusted,number_exact,1.000000,true,,,both_null,
